,time,volume,occupancy,speed
984,082441000,8,4,58
985,082511000,11,5,59
986,082542000,17,8,56
987,082612000,6,3,55
988,082643000,12,6,52
989,082713000,9,4,54
990,082744000,11,5,55
991,082815000,9,4,56
992,082845000,15,7,58
993,082915000,6,3,56
994,082946000,12,6,54
995,083017000,11,5,53
996,083047000,11,5,55
997,083117000,22,11,59
998,083147000,5,2,58
999,083218000,18,9,57
1000,083249000,20,10,55
1001,083319000,12,6,57
1002,083350000,7,3,60
1003,083420000,13,6,57
1004,083451000,15,7,59
1005,083521000,9,4,61
1006,083551000,18,9,57
1007,083622000,14,7,58
1008,083653000,18,9,58
1009,083724000,15,7,58
1010,083754000,22,11,57
1011,083824000,9,5,57
1012,083824000,9,5,57
1013,083925000,14,8,57
1014,083956000,18,9,57
1015,084026000,12,7,63
1016,084056000,11,5,60
1017,084127000,14,7,57
1018,084157000,3,1,56
1019,084227000,6,3,57
1020,084258000,13,6,57
1021,084328000,15,7,56
1022,084428000,15,7,54
1023,084459000,15,7,55
1024,084530000,13,7,58
1025,084600000,13,7,55
1026,084630000,13,6,53
1027,084701000,12,6,59
1028,084732000,18,9,60
1029,084802000,7,3,58
1030,084833000,16,8,52
1031,084903000,11,5,52
1032,084934000,15,7,57
1033,085005000,9,4,55
1034,085035000,10,6,55
1035,085105000,13,6,57
1036,085135000,15,7,55
1037,085206000,5,2,57
1038,085236000,11,5,58
1039,085307000,10,5,57
1040,085337000,14,7,53
1041,085408000,7,3,52
1042,085438000,10,5,51
1043,085509000,6,3,52
1044,085540000,11,5,53
1045,085610000,13,6,60
1046,085640000,15,8,62
1047,085710000,3,1,62
1048,085741000,5,2,62
1049,085811000,4,2,62
1050,085842000,11,5,57
1051,085912000,13,6,63
1052,085943000,20,10,59
1053,090014000,3,1,59
1054,090045000,12,7,55
1055,090115000,8,4,55
1056,090146000,14,7,55
1057,090217000,8,4,54
1058,090248000,5,5,55
1059,090318000,10,5,53
1060,090349000,9,4,53
1061,090419000,13,6,53
1062,090449000,7,4,58
1063,090520000,6,3,57
1064,090551000,5,2,57
1065,090621000,9,4,55
1066,090651000,6,3,54
1067,090721000,4,2,53
1068,090752000,8,4,50
1069,090822000,16,8,54
1070,090852000,7,3,55
1071,090923000,16,8,58
1072,090953000,9,4,60
1073,091023000,6,3,57
1074,091054000,10,5,58
1075,091125000,4,2,58
1076,091156000,9,5,58
1077,091227000,8,4,57
1078,091258000,5,2,60
1079,091258000,5,2,60
1080,091328000,2,1,60
1081,091429000,10,5,61
1082,091459000,4,2,61
1083,091530000,10,5,61
1084,091600000,14,7,56
1085,091630000,8,4,53
1086,091701000,9,4,56
1087,091732000,5,2,57
1088,091802000,7,4,63
1089,091832000,7,3,57
1090,091903000,7,3,57
1091,091934000,9,4,56
1092,092004000,6,3,57
1093,092034000,9,4,57
1094,092105000,12,6,58
1095,092136000,4,2,58
1096,092206000,13,7,58
1097,092237000,4,2,58
1098,092307000,14,9,60
1099,092337000,5,2,61
1100,092408000,6,3,61
1101,092438000,4,2,60
1102,092509000,2,1,59
1103,092539000,12,6,56
1104,092610000,12,6,53
1105,092640000,11,5,57
1106,092711000,5,3,56
1107,092742000,6,3,57
1108,092812000,5,3,55
1109,092843000,10,5,55
1110,092913000,7,5,54
1111,092943000,6,3,53
1112,093014000,4,2,54
1113,093044000,7,3,55
1114,093114000,6,3,56
1115,093145000,10,5,55
1116,093216000,3,1,55
1117,093246000,6,4,55
1118,093316000,13,6,57
1119,093347000,11,5,55
1120,093418000,10,5,55
1121,093448000,9,4,57
1122,093519000,2,1,58
1123,093549000,8,4,58
1124,093619000,8,4,58
1125,093650000,9,4,62
1126,093721000,6,3,62
1127,093751000,7,4,60
1128,093822000,7,6,60
1129,093852000,5,2,63
1130,093922000,6,3,60
1131,093953000,12,7,56
1132,094023000,2,1,55
1133,094053000,7,4,55
1134,094053000,7,4,55
1135,094154000,10,5,59
1136,094225000,7,3,58
1137,094255000,13,12,58
1138,094326000,10,7,58
1139,094356000,12,6,57
1140,094426000,4,3,56
1141,094457000,3,1,55
1142,094527000,14,7,56
1143,094527000,14,7,56
1144,094558000,6,3,55
1145,094629000,7,3,57
1146,094659000,6,3,57
